Domain: snake
Problem: snake-empty-5x5-1-5-10-11170
Require: ff
Type[1]:
    [0]: object, parent: -1
Obj-by-Type:
    [0]: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
Obj[26]:
    [0]: dummypoint, type: 0, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [1]: pos0-0, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [2]: pos0-1, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [3]: pos0-2, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [4]: pos0-3, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [5]: pos0-4, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [6]: pos1-0, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [7]: pos1-1, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [8]: pos1-2, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [9]: pos1-3, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [10]: pos1-4, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [11]: pos2-0, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [12]: pos2-1, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [13]: pos2-2, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [14]: pos2-3, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [15]: pos2-4, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [16]: pos3-0, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [17]: pos3-1, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [18]: pos3-2, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [19]: pos3-3, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [20]: pos3-4, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [21]: pos4-0, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [22]: pos4-1, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [23]: pos4-2, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [24]: pos4-3, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
    [25]: pos4-4, type: 0, is-constant: 0, is-private: 0, owner: -1, is-agent: 0
Predicate[11]:
    =: 0 0 :: is-private: 0, owner-param: -1, read: 1, write: 0
    isadjacent: 0 0 :: is-private: 0, owner-param: -1, read: 1, write: 0
    tailsnake: 0 :: is-private: 0, owner-param: -1, read: 1, write: 1
    headsnake: 0 :: is-private: 0, owner-param: -1, read: 1, write: 1
    nextsnake: 0 0 :: is-private: 0, owner-param: -1, read: 1, write: 1
    blocked: 0 :: is-private: 0, owner-param: -1, read: 0, write: 1, neg-of: 9
    spawn: 0 :: is-private: 0, owner-param: -1, read: 1, write: 1
    nextspawn: 0 0 :: is-private: 0, owner-param: -1, read: 1, write: 0
    ispoint: 0 :: is-private: 0, owner-param: -1, read: 1, write: 1, neg-of: 10
    NOT-blocked: 0 :: is-private: 0, owner-param: -1, read: 1, write: 1, neg-of: 5
    NOT-ispoint: 0 :: is-private: 0, owner-param: -1, read: 1, write: 1, neg-of: 8
Function[0]:
Action[3]:
    move: ?head:0 ?newhead:0 ?tail:0 ?newtail:0
        pre: (and (R:isadjacent ?head ?newhead) (RW:tailsnake ?tail) (RW:headsnake ?head) (RW:nextsnake ?newtail ?tail) (RW:NOT-blocked ?newhead) (RW:NOT-ispoint ?newhead))
        eff: (and (N:RW:tailsnake ?tail) (RW:tailsnake ?newtail) (N:RW:headsnake ?head) (RW:headsnake ?newhead) (RW:nextsnake ?newhead ?head) (N:RW:nextsnake ?newtail ?tail) (W:blocked ?newhead) (N:W:blocked ?tail) (N:RW:NOT-blocked ?newhead) (RW:NOT-blocked ?tail))
    move-and-eat-spawn: ?head:0 ?newhead:0 ?spawnpoint:0 ?nextspawnpoint:0
        pre: (and (N:R:= ?spawnpoint dummypoint) (R:isadjacent ?head ?newhead) (R:nextspawn ?spawnpoint ?nextspawnpoint) (RW:headsnake ?head) (RW:spawn ?spawnpoint) (RW:ispoint ?newhead) (RW:NOT-blocked ?newhead))
        eff: (and (N:RW:headsnake ?head) (RW:headsnake ?newhead) (RW:nextsnake ?newhead ?head) (W:blocked ?newhead) (N:RW:spawn ?spawnpoint) (RW:spawn ?nextspawnpoint) (N:RW:ispoint ?newhead) (RW:ispoint ?spawnpoint) (N:RW:NOT-blocked ?newhead) (RW:NOT-ispoint ?newhead) (N:RW:NOT-ispoint ?spawnpoint))
    move-and-eat-no-spawn: ?head:0 ?newhead:0
  (NOT-blocked pos1-2)
  (NOT-blocked pos1-3)
  (NOT-blocked pos1-4)
  (NOT-blocked pos2-0)
  (NOT-blocked pos2-1)
  (NOT-blocked pos2-2)
  (NOT-blocked pos2-3)
  (NOT-blocked pos2-4)
  (NOT-blocked pos3-1)
  (NOT-blocked pos3-2)
  (NOT-blocked pos3-3)
  (NOT-blocked pos3-4)
  (NOT-blocked pos4-1)
  (NOT-blocked pos4-2)
  (NOT-blocked pos4-3)
  (NOT-blocked pos4-4)
  (NOT-ispoint dummypoint)
  (NOT-ispoint pos0-0)
  (NOT-ispoint pos0-1)
  (NOT-ispoint pos0-2)
  (NOT-ispoint pos0-3)
  (NOT-ispoint pos1-0)
  (NOT-ispoint pos1-1)
  (NOT-ispoint pos1-2)
  (NOT-ispoint pos1-4)
  (NOT-ispoint pos2-0)
  (NOT-ispoint pos2-1)
  (NOT-ispoint pos2-2)
  (NOT-ispoint pos2-3)
  (NOT-ispoint pos3-0)
  (NOT-ispoint pos3-2)
  (NOT-ispoint pos3-3)
  (NOT-ispoint pos3-4)
  (NOT-ispoint pos4-0)
  (NOT-ispoint pos4-2)
  (NOT-ispoint pos4-3)
  (NOT-ispoint pos4-4)
Init[0]:
Goal: (and (RW:NOT-ispoint pos0-0) (RW:NOT-ispoint pos0-1) (RW:NOT-ispoint pos0-4) (RW:NOT-ispoint pos1-0) (RW:NOT-ispoint pos1-1) (RW:NOT-ispoint pos1-2) (RW:NOT-ispoint pos1-3) (RW:NOT-ispoint pos1-4) (RW:NOT-ispoint pos2-0) (RW:NOT-ispoint pos2-4) (RW:NOT-ispoint pos3-1) (RW:NOT-ispoint pos3-3) (RW:NOT-ispoint pos3-4) (RW:NOT-ispoint pos4-1) (RW:NOT-ispoint pos4-2))
Metric: 0
